acorn_out1.png,"stem, cap, smooth, woody, poisonous, rough, pointy, natural, intact, scaly|acorn, squirrels, hard, pithy, green, brown, fairy hat, oak, tree"
doorhandle_out1.png,"handle, smooth, door, brass, gold, silver, screw, open, close, turn, |door, switch, open, close, pull, handle, gold, brass, silver, push"
doorhandle_out1.png,"door handle, might be metallic, screws to hold it in, curved handle|a door handle, somewhat fancy, either metallic or plastic, not that special"
doorhandle_out1.png,"handle, fancy, door handle, screw, cylinder, rotate, open, pull, rotate to open|Every day I turn this handle when I leave my house"
doorhandle_out1.png,"metal, curved handle, shiny, decorative, ornate, open and close doors|this looks like it'd be on an interior door, no lock"
doorhandle_out1.png,"curved metal handle, circular metal base, two small screws, stainless steel|handle, pull, lever, shiny, curved, common, inexpensive, simple, functional, useful"
doorhandle_out1.png,"door, handle, screws, chrome, black, white, shiny, reflective, hardware, metal|opening, closing, home improvement, installation, lock, turn, closet, bedroom, bathroom"
doorhandle_out1.png,"door knob, handle, pewter, curved, metal, left side, fancy, unique|Opening a door, closing a door, diy project, installing a new door knob, replacing a door knob"
doorhandle_out1.png,"handle, door knob, screw plate, flush to a door, lever|opening, entering, coming home, relief, relaxation, ownership, holding bags, house keys"
dormer_out1.png,"window, four panes, ornate detail, paneling on side, lace curtains|very fancy, ornate, very nice to look at, top window on a house"
dormer_out1.png,"window, glass, trim, panes, curtain, siding, roof, ornate structures, closed |ghost, looking out from, locked, trapped, missing out on the world"
dormer_out1.png,"Frame, paint, glass, reflective, smooth windows, decorated, wooden, closed, see-through, curtain|House, mansions, home, childhood, being home alone, looking out, attic, top of house"
dormer_out1.png,"window, glass, curtain, siding, accents, vintage looking, arched, black and white|part of an old home, charm, spooky, pretty curtains, Victorian home"
dormer_out1.png,"window, curtain, trim, detailed, ornate, glass, siding, victorian, dark trim|this is lovely, it reminds me of the windows on victorian mansions"
dormer_out1.png,"Second or third story four pane glass window, arching wood frame, painted slats on edge|Tall house window, attic room, far from the ground, isolated, protection from the elements"
dormer_out1.png,"window, glass, curtain, it appears to be part of a house|I wonder what the current price of this item is"
dormer_out1.png,"window, peak, hang, frame, clear, curtain, four, panes, siding, house|construction, remodeling, house, window, siding, frame, wood, panes, exterior, interior"
dormer_out1.png,"WINDOW, ANTIQUE,  FOUR RECTANGLES, GLASS, RIBBED, ARCH, WORKMANSHIP, MIRROR, WOOD.|CLASSIC, PALACE, ARTISTIC, CARPENTRY, ARCHITECTURE, FORT, ANTIQUE, TRANSLUCENT, SUNLIGHT, CLOCK TOWER."
dormer_out1.png,a window with curly designs around the frame and white curtains|going for a jog in the neighborhood and looking at the houses as I pass by
dormer_out1.png,"layered side panel, glass window, patterned curved design, glass, wood|family home, middle class household, sunny windows, lovely homes, design elements"
dormer_out1.png,"dormer window, paned glass, floral curtain, architectural corbels, decorative moulding, arched top|House Hunters episodes, Architectural Digest, nostalgia, historic homes, ghostly figure in window"
dormer_out1.png,"window, glass, wood, curtains, siding, panelling, eave, curves, can see out, protects inside of house|attic window, dormer window, bay window, alice in wonderland, locked in the attic"
doublebass_out1.png,"bow, string, wood, metal, wire, ridge, the s, hollow inside, turner things|orchestra, classical music, musician, high class, beautiful, soothing, melodic, melancholy"
doublebass_out1.png,"musical instrument, strings, plays music, wood base, used in an orchestra|It looks like it would be very heavy and cumbersome."
doublebass_out1.png,"metallic strings, curved body, wooden body, two tone color design|musical instruments, orchestra band, live band music, country songs, entertainment"
doublebass_out1.png,"black, white, grey, string instrument, strings, wooden, curved neck, shiny, |beautiful, music, expensive, violin, base, cello, viola, bow, resin, symphony"
doublebass_out1.png,"instrument, item, strings, wood, device, tool, musical instrument, play item|I think of various sounds this item might be able to make"
doublebass_out1.png,"tuning pegs, neck, fingerboard, f holes, bridge, tail piece, wood|musical, melody, classical, tuning, viola, fiddle, string, bow, folk music"
doublebass_out1.png,"violin, stringed instrument, curved shape, tuning pegs, scroll detail, S-shapes|Stradivarius, chamber orchestra, violin lessons, classical music, attending a concert"
doublebass_out1.png,"String instruments, orchestra, horsehair bow, chin rest, wooden build, strings, frets|Classical music, virtuoso musicians, childhood , Childhood music Lessons, fret fingering, awkward to hold"
doublebass_out1.png,"Tall custom molded wooden instrument, hollow body, long handle with strings, tuner keys at the top|Cello, bass, classical music, symphony, orchestra, background sound, solo piece"
doublebass_out1.png,"violin, wood, brown, scroll, strings, chin rest, arm, play, music|it's a beautiful violin that would make beautiful music, i wish the bow was features"
doublebass_out1.png,"bridge, wooden construction, strings, frets, tuning knobs, instrument in orchestra|This reminds me of the famous Stradivarius violin maker, I also think of renting violas, violins and cellos from a local store"
doublebass_out1.png,"made of wood and cat's gut, violin shaped, plays music|makes music when played, boring to listen too, very loud"
doublebass_out1.png,"peg box, fingerboard, scroll, neck, turning pegs, bridge, f holes|music, orchestra, band class, sophisticated, opera, guitar, instrumental, melody, beauty"
drumset_out1.png,"A drum set, very heavy, Steel, Very noisy, Round, Dark|A band playing, A drummer playing in his garage, A kid banging on drums"
drumset_out1.png,"Cymbal, snare drum, bass drum, drum stands, musical instruments, chrome, metal,|Music, rhythmic beats, bands, drumsticks, drum players hitting the drums, band lessons, concerts"
drumset_out1.png,"drums, percussion, snare, high hat, thump, set, bass, cymbal, stand|music, drummers, rock band, jazz, rhythm, bassline, beat, instrument, back of the stage"
drumset_out1.png,"five different drums, cymbol, petal, loud, lots of different sounds|cool drum set, makes me think of rock music and good beats"
drumset_out1.png,"Drum, cymbal, bass drum, metal, legs, stand, plastic cover, drumsticks.|Rock music, the movie ""Whiplash"", J.K. Simmons, Dave Grohl, high school band, garage rock."
drumset_out1.png,"Drum set, Snare drums, Bass Drum, Stand Ride Cymbal. Stands Drum heads|Beginners set for learning to play the drums, utility set that would travel well"
drumset_out1.png,"music, drums, cymbal, beat, bass, bass drum, hi-hat, snare, drum stick|playing music, listening to my favorite drummers, high school band"
drumset_out1.png,"five drums, cymbal on the top, metal legs supporting the drums, |music, old music, rock and roll, the Beatles, high hat, crashing of cymbals, noise, comfort"
drumset_out1.png,"instrument, metal, circle, shapes, percussion, drums, kick stand, plastic, metal|I wonder what the next person who plays these drums will sound like"
drumset_out1.png,"drum set, percussion instrument, cymbal, cylinder shapes, metal stand, shiny|rocker drum solo, crashing cymbals, practicing in basement, garage band"
drumset_out1.png,"Five short metal barrels, clear plastic coverings, shiny metal plates on a pole|Drum set, musical concert, drumsticks, loud noise, neighbors complaining, jam session"
drumset_out1.png,"Set, cymbals, bass drum, snare, percussion, rock band, Tom toms, pedal|Pearl, rock and roll, tuner, beat, percussion, zildigen, drum sticks"
drumset_out1.png,"drum set, taught vinyl, tom tom, base drum, high hat, |rhythm, drum sticks, beats, loud noise, disturbance, band, marching, coordination"
electricmixer_out1.png,"electric, mixer, kitchen, baking, cake, fun, dessert, delicious, good, sweets|I think about somebody baking a cake or other dessert like that."
electricmixer_out1.png,"stand mixer, counter top appliance, kitchen tool, mixer bowl, beater, speed control|KitchenAid brand, newlywed gift, housewarming gift, making cookies, licking beaters, whipping egg whites"
electricmixer_out1.png,"cord, bowl, whisk, metal, plastic, rubber, buttons, it blends things in a bowl|martha stewart, making a cake, cookie dough batter, kitchens, homemaking"
electricmixer_out1.png,"large Kitchenaid mixer, deep bowl, many settings, can be used for many things|never goes out of style, can make cakes, bread, cookies, or any other type of food that needs to be mixed well"
electricmixer_out1.png,"made of metal, long flexible cord, round bowl, beaters, loud|baking goodies for my family, loud and hard to clean"
electricmixer_out1.png,"metal, electric, cord, mixing bowl, mixer, steel, mixes ingredients, fast|I've always wanted a large mixer like this one, but they are so expensive."
electricmixer_out1.png,"device, tool, kitchen utensil, household appliance, blender, metal, bowl, cord|I wonder what the current price for this item is"
electricmixer_out1.png,"Solid metal appliance, curved bowl clamp, silver round mixing bowl with handle|Electric mixer, marathon baking session, cookies, cakes, pies, holiday treats"
electricmixer_out1.png,"power cable, mixer, silver bowl, white background, settings knob, handle|raw dough, baking, flour, eggs, milk, cookies, dessert, loud noise"
electricmixer_out1.png,"A blender, Noisy, Heavy, Solid, metal, A long cord, Spinning|A blender blending dough, A blender on the table, A noisy kitchen"
electricmixer_out1.png,"mixer, beater, bowl, cord, metal, handle, electric, cooking implement, automated|industrial kitchen, mass cooking, good food, cake mix, pudding, whipped cream"
electricmixer_out1.png,"stand mixer, Kitchenaide, stainless steel bowl, plug, kneads bread, powerful|I'm on my second mixer, I striped the gears in the first one, multifunctional"
electricmixer_out1.png,"commercial grade, silver bowl, metal, cord, various speeds, mixing arm|great for making baked goods, lots of attachments for it."
firehydrant_out1.png,"Red paint, solid iron, water spigot, faucet, bolt at top. |Fire, fire hydrant, fire truck, hoses, hot summer days, protect houses."
firehydrant_out1.png,"water, hydrant, fire truck, large bolts, white and red colors, keeps neighborhood safe|Favorite of the neighborhood dog, sometimes hard to see when the grass around it gets high"
firehydrant_out1.png,"fire hydrant, three parts sticking out, dark bottom, light top|normal looking fire hydrant, I don't understand the colors, helps save people"
firehydrant_out1.png,"fire hydrant, metal, outlets to pump water out, white tap, bolted to ground|it looks like an old school hydrant, i don't see these anymore"
firehydrant_out1.png,"classic fire hydrant, metal, two-tone, dome-shaped top, hose connection, sturdy|dog's restroom, dog lifting leg, little man shape, decorated hydrant projects, kids enjoying spray"
firehydrant_out1.png,"heavy metal, fire hydrant, two colors, water sprayer, painted, engraved|rush of water, fire, summer, children playing in the water, hot days, fire trucks, wrench, fire men in uniform"
firehydrant_out1.png,"metal, top, spouts, base, lids, covers, lets out water in emergencies|hot days in urban cities with kids running under spouting water, fires, firemen, dogs peeing"
firehydrant_out1.png,"metal attachments with screws, found on the corners of streets for the purpose of putting out unexpected fires|A busy street in New York with kids playing with the water"
firehydrant_out1.png,"A fire hydrant with three nozzles on it, a white top|a dog peeing on the side, water spraying out of the side"
firehydrant_out1.png,"hard metallic structure, text inscription, multiple appendages, circular base area|city utility point, water hose, fire fighting utility, summer time water hose party"
firehydrant_out1.png,"fire hydrant, man made object, paint, heavy, bound, useful, emergency item|I wonder how much it costs to put one of these in"
firehydrant_out1.png,"metal object, valves on three sides, conical top part, painted two colors, base with screws in it|fire, old, metal, fireman, disasters, a lot of water, see them all the time"
firehydrant_out1.png,"Thick, heavy, dark painted metal, strong bolts, rounded white top cap|Fire hydrant, children playing in streams of water on city streets, fire hoses"
flashlight01a_out1.png,"two toned design, long middle, flip switch, circular base, circular top|security guard tools, power outage kit, battery powered home items"
flashlight01a_out1.png,"black plastic, battery powered, flash light, emergency kit essential, hand held|it looks dinky, i don't think it would put out much light or last very long"
flashlight01a_out1.png,"plastic, glass, bulb, power button, cylinder, circular, long, shines bright|used to light up dark places, can be carried in hand to light the way."
flashlight01a_out1.png,"Long thin plastic tube, light colored ends, finger switch, light source|Flashlight, camping, power outage, shadow animal games, nighttime, caverns, emergency kit"
flashlight01a_out1.png,"flashlight, grey, black, light, bright, gray, battery, night, handy, handheld|light, grey, black, button, night, battery, dark, shine, handy, bright"
flashlight01a_out1.png,"flashlight, lens, switch, plastic, batteries, light, bulb, grip, end, texture|night, power outage, camping, safety, dark, shining, useful, handheld, tool"
flashlight01a_out1.png,"Lens, bulb, power switch, batteries, battery casing, screw, lamp housing, bottom cap|flashlight, dark, power outage, emergency, camping, military, tool, light, prepared"
flashlight01a_out1.png,"light, tool, device, button, electronics, light, human made item, flashlight|I wonder what this device has been used for throughout time"
flashlight01a_out1.png,"flashlight, bulb, screwed on, switch, plastic, batteries, light source, electric powered|camping, darkness, midnight, tent, trees, forest, going out, pitch black"
flashlight01a_out1.png,"flash light, switch, battery compartment, flash light head, plastic, black and white|lighting, light, dark rooms, night time, looking for things in the dark"
flashlight01a_out1.png,"black and white, flash light, light, outside, darkness, scary, fear|I think about being a kid and being afraid of the dark."
flashlight01a_out1.png,"flashlight, batteries, protection, safety, easy to use, life saving, long lasting|camping and backpacking trips, late night, walking in the dark"
flashlight01a_out1.png,"switch, flashlight, base, grey, black, cylindrical, twist cap, ribbed, smooth|light, camping, batteries, twisting, darkness, searching, fear, emergency, cops, illuminating"
flask_out1.png,"black leather, shiny silver, cap, holds liquids, usually alcohol, curved to carry|it makes me think of something an old alcoholic man would carry"
flask_out1.png,"metallic body, ribbed sides, two toned color design, cap, curved body|alcohol holding item, fancy lifestyle accessories, liquid holding container, drinking"
flask_out1.png,"flask, spirits, liquor, Prohibition, whiskey, screw-on cap, easy storage in pocket, made of metal|This flask reminds of the 1920s and Prohibition, flappers and hidden alleys where you could find liquor without fear of reprisal, Al Capone made his money with filling lots of flasks."
flask_out1.png,"Cap, metal, leather middle, rough edges, able to hold liquids, light, small|Flask, parties, drinking, whiskey, rum, tequila, liquors, mixed drinks, gin"
flask_out1.png,"Metal, Plastic, Grooves, Cap, Hinge, Shiny, Smooth, Black, Silver, Round,|Sneaking, Bars, Businessmen, Alcoholics, Vodka, Whiskey, Bourbon, Gin, Rum, Spirits,"
flask_out1.png,"Small shiny metal flask, tiny round screw on lid, ridged edges|Liquor flask, alcohol, drunk, refreshment, concealed drink, refreshing, sneaky work break container"
flask_out1.png,"flask, quite big, metal and plastic, black and silver, opening on top|quite a big flask, can carry quite a bit of liquid, pretty generic looking"
flask_out1.png,"drinking flask, ribbed edges, shiny metal, capped, flattened shape, handheld|sneaking booze into a venue, gift for dad, monogram, groom's gift, take a swig"
flask_out1.png,"Smooth black front and back, flat square design, chrome edges and lid, screw on lid |Hip flask, carried inside jacket or purse, alcoholic, avoiding paying for drinks"
flask_out1.png,"metal, tool, flask, device, beverage holder, liquid carrying device, small|I wonder if people usually are alcoholics if they own this"
flask_out1.png,"made of metal, oddly shaped, flip top lid, holds liquid|sipping on something in secret, fits in pocket, easy access"
flask_out1.png,"partially removable cap, container, black center, stainless steel sides and top, grooved design, |flask, alcohol, drink, pretty, simple, plain, sturdy, metal, plastic, inexpensive"
flask_out1.png,"Flask, container, keeps things hidden, discreet drink holder, steel, clasp.|A place to hide your alcohol, drunk people, underage kids, people wanting to sneak in a beverage."
flugglehorn_out1.png,"trumpet, metal, music, notes, spit valve, mouthpiece, horn, jazz, orchestra|Louis Armstrong played one to perfection, often in an orchestra, can be loud, brass band"
flugglehorn_out1.png,"a metal instrument, metal mouthpiece, keys on top, pipes below the keys|jazz, horns, loud music, blowing, practice, big band, Miles Davis, shiny, twisted shape"
flugglehorn_out1.png,"brass, trumpet, buttons, mouthpiece, spit valve, makes music, polished, shines|band, wake up call, marching, flag raising, summer camp, orchestra"
flugglehorn_out1.png,"old style trumpet, shiny, three finger pads, large horn, brass|vintage trumpet, used for marching bands, light, easy to handle"
flugglehorn_out1.png,"trumpet, gray, white, silver, black, instrument, buttons, circle, mouthpiece, oval|loud music in a bar, jazz, Miles Davis, beatniks, annoying"
flugglehorn_out1.png,"trumpet, keys, shiny gold, spit valve, mouth piece, musical instrument|it looks weird for a trumpet, maybe it's something else, but it's a horn"
flugglehorn_out1.png,"keys, hole, mouthpiece, tuning slide, water slide, spring, water, padding|someone plays this, bugle, made of medal, rounded, silver paint"
flugglehorn_out1.png,"trumpet, music, brass, gold, color, three, levers, blow, horn, mouthpiece|band, highschool, trumpet, music, notes, sheet music, instruments, brass, concert"
flugglehorn_out1.png,"trumpet, horn, cornet, instrument, music, playing, band, conductor, valve, musical|playing in my high school band, Christmas performances, other types of concerts"
flugglehorn_out1.png,"Long, curved reflective metal, wide, fluted horn on one end, tiny mouthpiece on the other|Musical horn, loud marching band music, parade, jazz, blues, nightclub"
flugglehorn_out1.png,"instrument, brass, trumpet, buttons, device, expensive, costly, human made item|I wonder what the current cost of this item is"
flugglehorn_out1.png,"holes, buttons on top, spout, brass, metal, plays music, produces sounds|orchestra, band, army, nerdy, bugles, not good music, classical, loud"
flugglehorn_out1.png,"brass instrument, horn, mouthpiece, finger buttons, trumpet, shiny, flared tube|school marching band, Reveille (taps), band uniforms, conductor, sour note sound"
foosballtable_out1.png,"wood finish, handles, legs, rubber feet, white balls, plastic men|playing against my brother, basements, the ball getting stuck, losing"
foosballtable_out1.png,"plastic, wood, rubber, four legs, lots of players, balls, handles|fun, competition, two to four players, hurt arms, winning, cheering"
foosballtable_out1.png,"a foosball table with eight rotating handles, standing up on a wooden frame|playing in a game room, drinking beer with friends, listening to loud music"
foosballtable_out1.png,"game, spinners, small plastic things that look like human beings, wood, plastic|I wonder what the current monetary value of this item is"
foosballtable_out1.png,"black plastic handles, wood panel, tiny soccer players, goals, legs|This would be fun, i want to play!, looks sturdy and nice"
foosballtable_out1.png,"foosball game, table game, flippers, handles, ball slot, rectangular box shape|college fraternities, nostalgic, sound of game play, foosball wizards, rec room"
foosballtable_out1.png,"men, ball, handles, game, wooden base, plastic, men move, ball return|A game where two players fit a ball with twisting the handles on either side."
foosballtable_out1.png,"table top soccer, play with a friend, two players, fun game|great fun to play with a friend, easy to handle, competitive"
foosballtable_out1.png,"little people, turf, wood, stand, balls, goal, score, holes, turner|people play this, they get spun around, hitting a ball"
foosballtable_out1.png,"foosball table, looks wooden, handles attached to the players, hole on side for ball|fun game, looks usable, hole is on side for easy access"
foosballtable_out1.png,"Wooden table, metal handles stretching across, plastic hand grips, diagrammed surface inside|Foosball table, college students, drinking buddies, game tournaments, betting, beer"
foosballtable_out1.png,"Foosball, soccer, sports, kick, turn, table, square, legs, ball, sport|game, pizza place, Foosball, ball, soccer, indoor, arcade, spin, kick"
foosballtable_out1.png,"BARBEQUE STOVE, FOUR LEG, EIGHT SKEWERS, BUSHES UNDER THE LEGS, RECTANGLE SHAPED.|GRILLING , COOKING, CAMPING, PARTY, BUFFETS, RESTAURANTS, FOOD, MEAT, DINNER."
football_out1.png,"leather, pigskin, two stripes, white and brown, stitching, strange pointy oval like shape|football, kids, boys, men, sport, throw, catch, grass, slippery, hard"
football_out1.png,"football, game gear, laces, striped ends, pointed oblong shape, pebbled texture|spiral throw, Hail Mary pass, Joe Namath, Roger Staubach, pigskin nickname"
football_out1.png,"Oval shaped brown leather ball, white stripes, white stitched leather seams|Football, high school games, cheerleaders, national football league, coaches, athletes"
football_out1.png,"sports, football, brown, difficulty, school, holidays, family, television, football games|I think about watching football games at my friend's house."
football_out1.png,"leather, lines, this appears to be a football, item used for playing games|I wonder how much fun the upcoming football season will be"
football_out1.png,"football, sports, ball, entertainment, black and white, inflatable, catching, fun|I think of watching a football game when I see this."
football_out1.png,"leather, stitches, lines, seams, football, paint, laces, oddly shaped, brown or orange|sports, boring to watch, fun to play, Superbowl, parties, gym class"
football_out1.png,"a worn and deflated football, dirty laces on the football|fall time when the NFL season begins, beer commercials, the Patriots"
football_out1.png,"football, brown, leather, white stripes, white stitching, sketch, drawing, ball|it looks like a drawing, it's kind of a weird shape"
football_out1.png,"football, leather, stitching, pigskin, ball, sport, game, player, uniform, referee|game, players, money, business, men, college, field, stadium, ball, pool"
football_out1.png,"black ball. two silver strips, lace, oval shaped, base ball.|base ball, sports, baseball court, baseball bat, throw, hit, play."
football_out1.png,"football, laces, aired up, throw, white stripes, beaten up, outdoor play|Tim Tebow, Deflategate, playing in the backyard with children, hard to throw if you don't know how, American pastime"
football_out1.png,"large football, worn, dirty, dark colored, white stripes, easy to handle|great for playing backyard football, easy to catch, easy to throw"
footballhelmet_out1.png,"football helmet, light colored, face guard for protection, adjustable straps|used in football, protects the head from injury, protects the face"
footballhelmet_out1.png,"helmet, guard rail, plastic, foam padding, hinges, straps, strong, meant to take hits|football, sports, collision, concussion, pain, brain damage, neck injury, lawsuit"
footballhelmet_out1.png,"helmet, it looks like a helmet used to play football, plastic, hard|I wonder if a better way to prevent to concussions will ever be innovated"
footballhelmet_out1.png,"helmet, guard, plastic, padding, vent holes, football, keeps the brain safe|This looks like a typical football helmet, not enough protection from concussion, play a long time and you get brain injury"
footballhelmet_out1.png,"Round, A black mask, Protective equipment, Padding, Very hard, Chin strap|A bunch of football players, A running back scoring a TD"
footballhelmet_out1.png,"face guard, shiny finish, holes for ventilation, padding inside, protection|this looks dated, i'm not sure it's up to today's standards"
footballhelmet_out1.png,"football helmet, mouth guard, protective equipment, game gear, hard shell, face shield|players grabbing mouth guard, athlete concussion scandal, high school games, collecting souvenir helmets"
footballhelmet_out1.png,"hard plastic, face mask to protect face, lots of padding|football games, cool nights in stands, cheering for team, hot chocolate"
footballhelmet_out1.png,"football, helmet, bars, plastic, holes, screws, tough, safety, face mask|football, NFL, pop warner, safety, concussions, preventable accident, hardheaded, physical, heavy, thick"
footballhelmet_out1.png,"Round, smooth, painted head gear, wire metal, vinyl covered face cage|American football helmet, protective head covering, violent sport, team uniform"
footballhelmet_out1.png,"head protection, face protection, strong, round, chin guard, shiny, padded, safety wear|football, helmet, player protection, shatter proof, tackles by players, dangerous game"
footballhelmet_out1.png,"a basic football helmet, face guard connected to main protective helmet|pee wee sports and training camps in the summer since this doesn't look very official"
footballhelmet_out1.png,"face mask, helmet, holes, straps, bolts, screws, round, hard, grey.|Football, damage, protection, gear, expensive, safety, fighting, touchdown, fields, crowds"
frenchhorn_out1.png,"shiny, brass, valves, opening, keys, spit valve, musical, polished, heavy|French Horns make beautiful music, this one looks shiny and well cared for"
frenchhorn_out1.png,"french horn, music, blow, sound, buttons, horn, brass, gold, tubes|music, band, school, class, concert, music, brass, horn, french, musical"
frenchhorn_out1.png,"Metal, brass, air chamber, mouthpiece, valves, shaped, curled, horn, keys|music, sound, low, marching band, high school, orchestra, hard work"
frenchhorn_out1.png,"metal, edges, blow piece, tubes, makes musical sounds, used in orchestras|band, nerdy, classical music, funny farting noises, peter and the wolf"
frenchhorn_out1.png,"made of metal, had finger pedals, makes music, has a mouth piece.|Used in big bands, orchestras have them, make a deep sound, big instrument"
frenchhorn_out1.png,"intricate curved design, polished brass body, circular large opening, mouthpiece|marching band parade, orchestra, music group, loud music, fun time"
frenchhorn_out1.png,"Shiny smooth metal, wide hollow end, curved tube, small mouthpiece|French horn, high school, marching band, loud music, orchestra, uniforms"
frenchhorn_out1.png,"music, French Horn, instrument, playing, band, symphony, director, musicals, tuba|I think about how I used to play this instrument back in middle school."
frenchhorn_out1.png,"made of metal, gold in color, heavy, loud sound, brass|loud when played, heavy to hold, brass in finish, hole"
frenchhorn_out1.png,"trumpet, brass instrument, coiled tube, finger tabs, shiny, metal, flared|Benny Goodman, old brass band music, puffed cheeks, high school band, Christmas ornament, angel Gabriel"
frenchhorn_out1.png,"instrument, metal, device, musical instrument, brass, band, human made item|I think about the times i have heard this insrument"
frenchhorn_out1.png,"bent metal, French horn, fox hunt, orchestra, muted sound, lovely tone, |The brass section of an orchestra, fox hunt horn sounds in a symphony, the fuller sound the horn makes, not harsh like a trumpet"
frenchhorn_out1.png,"metal, light shine, black and white, lead pipe, valves, bell|music, band, orchestra, parade, marching band, the sound of an elephant falling in a cartoon"
fryingpan01_out1.png,"skillet, dark metal, hole in the handle for hanging, medium sized|cooking, eggs and bacon, breakfast, hot, family meals, stove top, sizzling"
fryingpan01_out1.png,"handle, metal, tool, household item, cooking device, pan, food making|I wonder what items I would most like to cook with this."
fryingpan01_out1.png,"frying pan, skillet, handle, non-stick coating, metal, cookware, stove top |fried potatoes, fried eggs, spatula, stuck-on food, Teflon, camping, washing dishes"
fryingpan01_out1.png,"cast iron, pan, long silver handle, metal, good for cooking on stove|it looks like a small pan that would be good for things like omlettes"
fryingpan01_out1.png,"Metal, rivets, handle, cast iron, aluminum alloy, rounded bottom, beveled cooking surface |cooking, steak, dinner, scrambled eggs, breakfast, hungry, chef, cuisine, Gordan Ramsey"
fryingpan01_out1.png,"pan, black, cooking, cooking spray, grease, frying, hamburger, pancake, breakfast, bacon|cooking breakfast in the morning, eating food, frying things, enjoying food"
fryingpan01_out1.png,"black frying pan, medium sized handle, flat pan, metal pan.|cooking utensil, kitchenware, frying purpose, cook vegetables, easy to handle."
fryingpan01_out1.png,"Round metal pan, long silver handle, black shiny finish, metal fasteners|Frying pan, sizzling eggs, hash browns, bacon, hamburger patties, oil"
fryingpan01_out1.png,"seasoned skillet, stainless steel handle, omelet pan, hand wash only|This looks like a well-seasoned cast iron pan that reminds me of the few that I rusted by leaving them to soak in water, I'm reminded that I prefer stainless steel to cast iron"
fryingpan01_out1.png,"polished metal, handle bar, hollow structure, flat base, round top|frying cooking items, kitchen wares, home made food, greasy meals"
fryingpan01_out1.png,"Metal, Non-stick, Small, Handle, Black, Chrome, Bolts, Heavy, Round, Shallow|Fire, Cooking, Eggs, Bacon, Potatoes, Stir-Fry, Chicken, Vegetables, Pancakes, Grilled-Cheese Sandwiches,"
fryingpan01_out1.png,"Cast iron pan, screws, handle, pan, smooth, hard, heavy, shiny|Cooking, French cuisine, stir fry, eating, making dinner, recipes, food"
fryingpan01_out1.png,"pan, steel handle, nonstick, Teflon, rivets, for cooking, heavy, black|bacon and eggs, grease, frying ground beef, making dinner, wife hitting husband"
gamecontroller01_out1.png,"it is hard plastic, has buttons, long cord, plugs in|endless hours of gaming fun, play with friends, sore hands"
gamecontroller01_out1.png,"controller, game, buttons, wire, plastic, human made item, video game accessory|I remember times that I used that item to have fun"
gamecontroller01_out1.png,"controller, joystick, buttons, directional pad, cord, plastic, grey, yellow buttons|Nintendo, fun, my brother, racing, super Mario, Bowser, princess peach, Zelda, Link"
gamecontroller01_out1.png,"Gray plastic controller, several colored buttons, tiny white joystick, dark flexible cord|Gaming controller, video games, multiplayer battles, racing, platform, friends, socializing"
gamecontroller01_out1.png,"Matte finish, analog stick, dpad, start button, wired, 3 handles|Nintendo 64, controller, play video games, N64, control character, attach to game console"
gamecontroller01_out1.png,"Nintendo, game, joystick, buttons, plug, fun games, A button and B button|Legend of Zelda, Mario Brothers, and Excite Bike, old school games, find this at a garage sale"
gamecontroller01_out1.png,"Video game controller, console game accessory, controls, cord, cross-shape, joystick, buttons|fighting over turns, wearing out buttons, untangling cord, closet full of game stuff"
gamecontroller01_out1.png,"Solid, Blunt, Joystick, Several buttons, A long cord, A D stick|An Xbox controller, A kid playing a video game, Mortal Kombat"
gamecontroller01_out1.png,"Nintendo game controller, wired controller for video games, joystick and button included on game controller. |Nintendo 64 game controller, additional controller to connect to a nintendo game system"
gamecontroller01_out1.png,"long power cord, buttons, plug, grey plastic, large in size|n64 was my favorite!, i played so much when i was little!"
gamecontroller01_out1.png,"controller, gaming equipment, nintendo, gaming console, fun, entertainment, games, super mario|I think of playing games when I see this image."
gamecontroller01_out1.png,"Nintendo controller, connection cord, directional buttons, joystick, selection buttons, start button, hand-holds, plastic, lightweight|video games, Nintendo 64, Zelda, television, family, fun, free time, casual, adventure"
gamecontroller01_out1.png,"controller, plus button, six circle buttons, roll scroll, black cord|video game controller, black and white, Sony playstation , Microsoft xbox"
garbagebin_out1.png,"wheels, container, garbage can, plastic, item, human made device, storage|I wonder how much this item costs to create today"
garbagebin_out1.png,"Wheels, axle, end caps, container, handles, lid, hinges, plastic, metal|trash, smelly, recycle, Monday mornings, chore, tie the bags, scraps, landfill"
garbagebin_out1.png,"garbage can, green, hinges, wheel, black, refuse, dirty, municipality, writing|weekly pickup, garbage trucks, crushing, city dump, homeless people, collecting cans"
garbagebin_out1.png,"bin, garbage, attached lid, waste collection, trash day, tips over for removal|It's harder for raccoons to get in the top when you bungee cord it shut"
garbagebin_out1.png,"wheels, plastic, top, container, metal, hinges, trash inside, liftable lid|smelly, dirty, recycling, trashy, insects, flies, gnats, houses, work, darkness"
garbagebin_out1.png,"large, plastic bin, two big wheels, hinged top, smooth, receptacle|garbage day, rolling an empty bin, stink, animals rummaging, loud truck noise"
garbagebin_out1.png,"wheels, garbage can, plastic, handle, hard, smelly, wheel to the curb|this looks just like mine, except mine is stinky and i wish it was clean"
garbagebin_out1.png,"two black wheels, a handle at the top, narrower at the bottom than the top|garbage can, garbage day, wheeling it down the driveway, bad smell, garbage truck"
